SizeRank,StateName,Avg_House_Price,year,month,import_of_goods,export_of_goods,gdp_of_goods,Real_PerCap,house_ownership,PPI_Lumber_of_goods,CPI_of_goods,NASDAQ_Index,Fed_Interest_Rate,PPI_ALL_Index,Children 0-18,Adults 19-25,Adults 26-34,Adults 35-54,Adults 55-64,Adults 65+,MORTGAGE,population
11.0,VA,278534.0,2008,1.0,1830.4,1570.6,459850.5,49384.0,70.6,163.7,212.174,2418.09380952381,3.94,181.0,0.255,0.089,0.114,0.302,0.118,0.122,5.758,7833496
48.0,VT,238373.0,2008,1.0,305.9,282.3,30222.3,45363.0,72.8,163.7,212.174,2418.09380952381,3.94,181.0,0.222,0.084,0.102,0.319,0.135,0.139,5.758,624151
12.0,WA,319219.0,2008,1.0,3705.2,5426.0,399801.0,47357.0,66.2,163.7,212.174,2418.09380952381,3.94,181.0,0.252,0.087,0.123,0.298,0.121,0.119,5.758,6562231
19.0,WI,174716.0,2008,1.0,1690.3,1487.4,288584.9,46757.0,70.4,163.7,212.174,2418.09380952381,3.94,181.0,0.248,0.092,0.113,0.299,0.118,0.13,5.758,5640996
36.0,WV,94088.0,2008,1.0,268.2,377.9,69550.0,40351.0,77.8,163.7,212.174,2418.09380952381,3.94,181.0,0.222,0.084,0.112,0.291,0.138,0.153,5.758,1840310
50.0,WY,204747.0,2008,1.0,280.0,69.8,40474.9,58234.0,73.3,163.7,212.174,2418.09380952381,3.94,181.0,0.262,0.094,0.116,0.284,0.122,0.123,5.758,546043
46.0,AK,263251.0,2008,2.0,126.6,289.3,48550.1,51624.0,66.4,161.9,212.687,2325.8255,2.98,182.7,0.282,0.113,0.122,0.289,0.12,0.074,5.9175,687455
22.0,AL,130576.0,2008,2.0,1262.5,1303.6,202569.5,42242.0,73.0,161.9,212.687,2325.8255,2.98,182.7,0.258,0.095,0.113,0.282,0.118,0.135,5.9175,4718206
31.0,AR,110158.0,2008,2.0,580.2,367.1,113170.5,40983.0,68.9,161.9,212.687,2325.8255,2.98,182.7,0.263,0.09,0.114,0.276,0.117,0.141,5.9175,2874554
15.0,AZ,240974.0,2008,2.0,1421.7,1782.0,307724.1,38967.0,69.1,161.9,212.687,2325.8255,2.98,182.7,0.279,0.09,0.126,0.266,0.105,0.134,5.9175,6280362
0.0,CA,456340.0,2008,2.0,26520.0,11318.2,2180243.6,43801.0,57.5,161.9,212.687,2325.8255,2.98,182.7,0.272,0.101,0.126,0.288,0.102,0.112,5.9175,36604337
21.0,CO,245647.0,2008,2.0,830.5,561.0,281408.9,46677.0,69.0,161.9,212.687,2325.8255,2.98,182.7,0.259,0.093,0.132,0.3,0.113,0.103,5.9175,4889730
