SizeRank,StateName,Date,Avg_House_Price,year,month,day
48,VT,2008-06-30,235954.0,2008,6,30
49,DC,2008-06-30,446639.0,2008,6,30
50,WY,2008-06-30,204065.0,2008,6,30
0,CA,2008-07-31,402889.0,2008,7,31
1,TX,2008-07-31,140740.0,2008,7,31
2,NY,2008-07-31,284421.0,2008,7,31
3,FL,2008-07-31,212327.0,2008,7,31
4,IL,2008-07-31,218623.0,2008,7,31
5,PA,2008-07-31,175187.0,2008,7,31
6,OH,2008-07-31,127864.0,2008,7,31
7,MI,2008-07-31,130662.0,2008,7,31
8,GA,2008-07-31,166233.0,2008,7,31
9,NC,2008-07-31,172819.0,2008,7,31
10,NJ,2008-07-31,362575.0,2008,7,31
11,VA,2008-07-31,264024.0,2008,7,31
12,WA,2008-07-31,305085.0,2008,7,31
13,MA,2008-07-31,341034.0,2008,7,31
14,IN,2008-07-31,121442.0,2008,7,31
15,AZ,2008-07-31,216258.0,2008,7,31
16,TN,2008-07-31,143646.0,2008,7,31
17,MO,2008-07-31,138499.0,2008,7,31
18,MD,2008-07-31,325612.0,2008,7,31
19,WI,2008-07-31,170514.0,2008,7,31
20,MN,2008-07-31,207246.0,2008,7,31
21,CO,2008-07-31,240543.0,2008,7,31
22,AL,2008-07-31,129813.0,2008,7,31
23,SC,2008-07-31,165100.0,2008,7,31
24,LA,2008-07-31,152439.0,2008,7,31
25,KY,2008-07-31,116603.0,2008,7,31
26,OR,2008-07-31,274396.0,2008,7,31
27,OK,2008-07-31,104829.0,2008,7,31
28,CT,2008-07-31,300054.0,2008,7,31
29,IA,2008-07-31,124265.0,2008,7,31
30,MS,2008-07-31,114052.0,2008,7,31
31,AR,2008-07-31,109564.0,2008,7,31
32,KS,2008-07-31,122982.0,2008,7,31
33,UT,2008-07-31,248630.0,2008,7,31
34,NV,2008-07-31,253282.0,2008,7,31
35,NM,2008-07-31,194240.0,2008,7,31
36,WV,2008-07-31,94171.0,2008,7,31
37,NE,2008-07-31,125674.0,2008,7,31
38,ID,2008-07-31,199892.0,2008,7,31
39,HI,2008-07-31,524790.0,2008,7,31
40,ME,2008-07-31,208699.0,2008,7,31
41,NH,2008-07-31,244809.0,2008,7,31
42,RI,2008-07-31,284460.0,2008,7,31
43,MT,2008-07-31,215749.0,2008,7,31
44,DE,2008-07-31,265118.0,2008,7,31
45,SD,2008-07-31,150347.0,2008,7,31
46,AK,2008-07-31,264188.0,2008,7,31
47,ND,2008-07-31,167547.0,2008,7,31
48,VT,2008-07-31,235277.0,2008,7,31
49,DC,2008-07-31,444082.0,2008,7,31
50,WY,2008-07-31,203711.0,2008,7,31
0,CA,2008-08-31,393265.0,2008,8,31
1,TX,2008-08-31,140341.0,2008,8,31
2,NY,2008-08-31,283226.0,2008,8,31
3,FL,2008-08-31,208023.0,2008,8,31
4,IL,2008-08-31,215960.0,2008,8,31
5,PA,2008-08-31,174474.0,2008,8,31
6,OH,2008-08-31,127450.0,2008,8,31
7,MI,2008-08-31,128660.0,2008,8,31
8,GA,2008-08-31,165020.0,2008,8,31
9,NC,2008-08-31,172390.0,2008,8,31
10,NJ,2008-08-31,360037.0,2008,8,31
11,VA,2008-08-31,261748.0,2008,8,31
12,WA,2008-08-31,302043.0,2008,8,31
13,MA,2008-08-31,339039.0,2008,8,31
14,IN,2008-08-31,121207.0,2008,8,31
15,AZ,2008-08-31,210746.0,2008,8,31
16,TN,2008-08-31,143110.0,2008,8,31
17,MO,2008-08-31,138070.0,2008,8,31
18,MD,2008-08-31,321139.0,2008,8,31
19,WI,2008-08-31,169943.0,2008,8,31
20,MN,2008-08-31,205350.0,2008,8,31
21,CO,2008-08-31,239702.0,2008,8,31
22,AL,2008-08-31,129532.0,2008,8,31
23,SC,2008-08-31,164333.0,2008,8,31
24,LA,2008-08-31,152449.0,2008,8,31
25,KY,2008-08-31,116612.0,2008,8,31
26,OR,2008-08-31,272042.0,2008,8,31
27,OK,2008-08-31,104769.0,2008,8,31
28,CT,2008-08-31,297725.0,2008,8,31
29,IA,2008-08-31,124166.0,2008,8,31
30,MS,2008-08-31,113661.0,2008,8,31
31,AR,2008-08-31,109274.0,2008,8,31
32,KS,2008-08-31,122990.0,2008,8,31
33,UT,2008-08-31,246110.0,2008,8,31
34,NV,2008-08-31,245727.0,2008,8,31
35,NM,2008-08-31,193021.0,2008,8,31
36,WV,2008-08-31,94148.0,2008,8,31
37,NE,2008-08-31,125549.0,2008,8,31
38,ID,2008-08-31,198460.0,2008,8,31
39,HI,2008-08-31,518742.0,2008,8,31
40,ME,2008-08-31,207260.0,2008,8,31
41,NH,2008-08-31,242802.0,2008,8,31
42,RI,2008-08-31,281078.0,2008,8,31
43,MT,2008-08-31,215578.0,2008,8,31
44,DE,2008-08-31,262815.0,2008,8,31
45,SD,2008-08-31,150568.0,2008,8,31
46,AK,2008-08-31,264419.0,2008,8,31
47,ND,2008-08-31,167752.0,2008,8,31
48,VT,2008-08-31,235162.0,2008,8,31
49,DC,2008-08-31,440816.0,2008,8,31
50,WY,2008-08-31,203658.0,2008,8,31
0,CA,2008-09-30,384497.0,2008,9,30
1,TX,2008-09-30,139843.0,2008,9,30
2,NY,2008-09-30,281941.0,2008,9,30
3,FL,2008-09-30,203722.0,2008,9,30
4,IL,2008-09-30,214422.0,2008,9,30
5,PA,2008-09-30,173833.0,2008,9,30
6,OH,2008-09-30,126956.0,2008,9,30
7,MI,2008-09-30,126879.0,2008,9,30
8,GA,2008-09-30,163857.0,2008,9,30
9,NC,2008-09-30,171926.0,2008,9,30
10,NJ,2008-09-30,357333.0,2008,9,30
11,VA,2008-09-30,259455.0,2008,9,30
12,WA,2008-09-30,298896.0,2008,9,30
13,MA,2008-09-30,336671.0,2008,9,30
14,IN,2008-09-30,120929.0,2008,9,30
15,AZ,2008-09-30,205794.0,2008,9,30
16,TN,2008-09-30,142572.0,2008,9,30
17,MO,2008-09-30,137689.0,2008,9,30
18,MD,2008-09-30,316991.0,2008,9,30
19,WI,2008-09-30,169287.0,2008,9,30
20,MN,2008-09-30,203446.0,2008,9,30
21,CO,2008-09-30,239118.0,2008,9,30
22,AL,2008-09-30,129235.0,2008,9,30
23,SC,2008-09-30,163571.0,2008,9,30
24,LA,2008-09-30,152446.0,2008,9,30
25,KY,2008-09-30,116625.0,2008,9,30
26,OR,2008-09-30,269587.0,2008,9,30
27,OK,2008-09-30,104763.0,2008,9,30
28,CT,2008-09-30,295005.0,2008,9,30
29,IA,2008-09-30,124120.0,2008,9,30
30,MS,2008-09-30,113227.0,2008,9,30
31,AR,2008-09-30,109072.0,2008,9,30
32,KS,2008-09-30,122980.0,2008,9,30
33,UT,2008-09-30,244120.0,2008,9,30
34,NV,2008-09-30,238131.0,2008,9,30
35,NM,2008-09-30,192297.0,2008,9,30
36,WV,2008-09-30,93708.0,2008,9,30
37,NE,2008-09-30,125184.0,2008,9,30
38,ID,2008-09-30,197000.0,2008,9,30
39,HI,2008-09-30,513229.0,2008,9,30
40,ME,2008-09-30,206108.0,2008,9,30
41,NH,2008-09-30,240943.0,2008,9,30
42,RI,2008-09-30,277527.0,2008,9,30
43,MT,2008-09-30,215435.0,2008,9,30
44,DE,2008-09-30,260996.0,2008,9,30
45,SD,2008-09-30,150846.0,2008,9,30
46,AK,2008-09-30,264370.0,2008,9,30
47,ND,2008-09-30,167772.0,2008,9,30
48,VT,2008-09-30,234812.0,2008,9,30
49,DC,2008-09-30,438708.0,2008,9,30
50,WY,2008-09-30,203618.0,2008,9,30
0,CA,2008-10-31,376639.0,2008,10,31
1,TX,2008-10-31,139299.0,2008,10,31
2,NY,2008-10-31,280344.0,2008,10,31
3,FL,2008-10-31,199331.0,2008,10,31
4,IL,2008-10-31,211849.0,2008,10,31
5,PA,2008-10-31,173273.0,2008,10,31
6,OH,2008-10-31,126322.0,2008,10,31
7,MI,2008-10-31,125419.0,2008,10,31
8,GA,2008-10-31,162565.0,2008,10,31
9,NC,2008-10-31,171418.0,2008,10,31
10,NJ,2008-10-31,354312.0,2008,10,31
11,VA,2008-10-31,257534.0,2008,10,31
12,WA,2008-10-31,295945.0,2008,10,31
13,MA,2008-10-31,334287.0,2008,10,31
14,IN,2008-10-31,120697.0,2008,10,31
15,AZ,2008-10-31,201440.0,2008,10,31
16,TN,2008-10-31,142083.0,2008,10,31
17,MO,2008-10-31,137319.0,2008,10,31
18,MD,2008-10-31,313188.0,2008,10,31
19,WI,2008-10-31,168333.0,2008,10,31
20,MN,2008-10-31,201524.0,2008,10,31
21,CO,2008-10-31,238616.0,2008,10,31
22,AL,2008-10-31,128766.0,2008,10,31
23,SC,2008-10-31,162932.0,2008,10,31
24,LA,2008-10-31,152405.0,2008,10,31
25,KY,2008-10-31,116563.0,2008,10,31
26,OR,2008-10-31,267017.0,2008,10,31
27,OK,2008-10-31,104887.0,2008,10,31
28,CT,2008-10-31,292359.0,2008,10,31
29,IA,2008-10-31,124019.0,2008,10,31
30,MS,2008-10-31,112892.0,2008,10,31
31,AR,2008-10-31,108807.0,2008,10,31
32,KS,2008-10-31,122959.0,2008,10,31
33,UT,2008-10-31,242195.0,2008,10,31
34,NV,2008-10-31,230460.0,2008,10,31
35,NM,2008-10-31,191108.0,2008,10,31
36,WV,2008-10-31,93167.0,2008,10,31
37,NE,2008-10-31,124794.0,2008,10,31
38,ID,2008-10-31,195530.0,2008,10,31
39,HI,2008-10-31,510747.0,2008,10,31
40,ME,2008-10-31,204863.0,2008,10,31
41,NH,2008-10-31,238939.0,2008,10,31
42,RI,2008-10-31,273999.0,2008,10,31
43,MT,2008-10-31,215090.0,2008,10,31
44,DE,2008-10-31,258812.0,2008,10,31
45,SD,2008-10-31,151099.0,2008,10,31
46,AK,2008-10-31,264480.0,2008,10,31
47,ND,2008-10-31,167984.0,2008,10,31
48,VT,2008-10-31,234236.0,2008,10,31
49,DC,2008-10-31,437792.0,2008,10,31
50,WY,2008-10-31,203368.0,2008,10,31
0,CA,2008-11-30,367890.0,2008,11,30
1,TX,2008-11-30,138715.0,2008,11,30
2,NY,2008-11-30,278633.0,2008,11,30
3,FL,2008-11-30,194848.0,2008,11,30
4,IL,2008-11-30,209757.0,2008,11,30
5,PA,2008-11-30,172635.0,2008,11,30
6,OH,2008-11-30,125804.0,2008,11,30
7,MI,2008-11-30,124032.0,2008,11,30
8,GA,2008-11-30,160990.0,2008,11,30
9,NC,2008-11-30,170722.0,2008,11,30
10,NJ,2008-11-30,350974.0,2008,11,30
11,VA,2008-11-30,255731.0,2008,11,30
12,WA,2008-11-30,293058.0,2008,11,30
13,MA,2008-11-30,331779.0,2008,11,30
14,IN,2008-11-30,120378.0,2008,11,30
15,AZ,2008-11-30,197486.0,2008,11,30
16,TN,2008-11-30,141605.0,2008,11,30
17,MO,2008-11-30,136737.0,2008,11,30
18,MD,2008-11-30,310154.0,2008,11,30
19,WI,2008-11-30,167293.0,2008,11,30
20,MN,2008-11-30,199822.0,2008,11,30
21,CO,2008-11-30,237940.0,2008,11,30
22,AL,2008-11-30,128431.0,2008,11,30
23,SC,2008-11-30,162003.0,2008,11,30
24,LA,2008-11-30,152061.0,2008,11,30
25,KY,2008-11-30,116458.0,2008,11,30
26,OR,2008-11-30,264576.0,2008,11,30
27,OK,2008-11-30,104849.0,2008,11,30
28,CT,2008-11-30,290273.0,2008,11,30
29,IA,2008-11-30,123908.0,2008,11,30
30,MS,2008-11-30,112651.0,2008,11,30
31,AR,2008-11-30,108567.0,2008,11,30
32,KS,2008-11-30,122755.0,2008,11,30
33,UT,2008-11-30,240274.0,2008,11,30
34,NV,2008-11-30,222434.0,2008,11,30
35,NM,2008-11-30,190161.0,2008,11,30
36,WV,2008-11-30,92723.0,2008,11,30
37,NE,2008-11-30,124364.0,2008,11,30
38,ID,2008-11-30,193770.0,2008,11,30
39,HI,2008-11-30,507594.0,2008,11,30
40,ME,2008-11-30,204175.0,2008,11,30
41,NH,2008-11-30,237484.0,2008,11,30
42,RI,2008-11-30,270253.0,2008,11,30
43,MT,2008-11-30,215008.0,2008,11,30
44,DE,2008-11-30,257305.0,2008,11,30
45,SD,2008-11-30,151312.0,2008,11,30
46,AK,2008-11-30,264372.0,2008,11,30
47,ND,2008-11-30,168192.0,2008,11,30
48,VT,2008-11-30,233540.0,2008,11,30
49,DC,2008-11-30,436391.0,2008,11,30
50,WY,2008-11-30,203202.0,2008,11,30
0,CA,2008-12-31,359256.0,2008,12,31
1,TX,2008-12-31,138159.0,2008,12,31
2,NY,2008-12-31,277041.0,2008,12,31
3,FL,2008-12-31,190554.0,2008,12,31
4,IL,2008-12-31,206759.0,2008,12,31
5,PA,2008-12-31,171885.0,2008,12,31
6,OH,2008-12-31,125180.0,2008,12,31
7,MI,2008-12-31,122259.0,2008,12,31
8,GA,2008-12-31,159044.0,2008,12,31
9,NC,2008-12-31,169958.0,2008,12,31
10,NJ,2008-12-31,347838.0,2008,12,31
11,VA,2008-12-31,253913.0,2008,12,31
12,WA,2008-12-31,290040.0,2008,12,31
13,MA,2008-12-31,329244.0,2008,12,31
14,IN,2008-12-31,119896.0,2008,12,31
15,AZ,2008-12-31,193237.0,2008,12,31
16,TN,2008-12-31,141105.0,2008,12,31
