StateName,year,month,import_of_goods_rel,export_of_goods_rel,gdp_of_goods_rel,Real_PerCap_rel,house_ownership_rel,PPI_Lumber_of_goods_rel,CPI_of_goods_rel,NASDAQ_Index_rel,Fed_Interest_Rate_rel,PPI_ALL_Index_rel,Children 0-18_rel,Adults 19-25_rel,Adults 26-34_rel,Adults 35-54_rel,Adults 55-64_rel,Adults 65+_rel,MORTGAGE_rel,Avg_House_Price_rel
ME,2008,2.0,0.7517993456924754,0.9022556390977443,1.0,1.0,1.0,0.9890042761148443,1.0024178268779398,0.9618425434280483,0.7563451776649747,1.00939226519337,1.0,1.0,1.0,1.0,1.0,1.0,1.0277005904828067,0.9990488328288555
MI,2008,2.0,1.1737666939220497,1.0624797764377114,1.0,1.0,1.0,0.9890042761148443,1.0024178268779398,0.9618425434280483,0.7563451776649747,1.00939226519337,1.0,1.0,1.0,1.0,1.0,1.0,1.0277005904828067,0.9916068257828043
MN,2008,2.0,1.0236314810989464,0.9631593074755066,1.0,1.0,1.0,0.9890042761148443,1.0024178268779398,0.9618425434280483,0.7563451776649747,1.00939226519337,1.0,1.0,1.0,1.0,1.0,1.0,1.0277005904828067,0.9906285745786304
MO,2008,2.0,0.9981760145918832,0.924405408072634,1.0,1.0,1.0,0.9890042761148443,1.0024178268779398,0.9618425434280483,0.7563451776649747,1.00939226519337,1.0,1.0,1.0,1.0,1.0,1.0,1.0277005904828067,0.9986699479359299
MS,2008,2.0,1.0597851471275106,1.192864030858245,1.0,1.0,1.0,0.9890042761148443,1.0024178268779398,0.9618425434280483,0.7563451776649747,1.00939226519337,1.0,1.0,1.0,1.0,1.0,1.0,1.0277005904828067,0.9985833018511523
MT,2008,2.0,1.4166001596169195,1.0113851992409866,1.0,1.0,1.0,0.9890042761148443,1.0024178268779398,0.9618425434280483,0.7563451776649747,1.00939226519337,1.0,1.0,1.0,1.0,1.0,1.0,1.0277005904828067,1.0023365135879392
NC,2008,2.0,1.013042406311637,1.0497739907518056,1.0,1.0,1.0,0.9890042761148443,1.0024178268779398,0.9618425434280483,0.7563451776649747,1.00939226519337,1.0,1.0,1.0,1.0,1.0,1.0,1.0277005904828067,1.0001091439666363
ND,2008,2.0,1.0192227329711658,1.1042009884678747,1.0,1.0,1.0,0.9890042761148443,1.0024178268779398,0.9618425434280483,0.7563451776649747,1.00939226519337,1.0,1.0,1.0,1.0,1.0,1.0,1.0277005904828067,1.0034500259809311
NE,2008,2.0,1.0423120513789195,1.1430028039765485,1.0,1.0,1.0,0.9890042761148443,1.0024178268779398,0.9618425434280483,0.7563451776649747,1.00939226519337,1.0,1.0,1.0,1.0,1.0,1.0,1.0277005904828067,0.995869514198545
NH,2008,2.0,0.9510979102577702,0.8872107969151672,1.0,1.0,1.0,0.9890042761148443,1.0024178268779398,0.9618425434280483,0.7563451776649747,1.00939226519337,1.0,1.0,1.0,1.0,1.0,1.0,1.0277005904828067,0.9952439903469458
NJ,2008,2.0,1.0164612625122953,1.0459187395141876,1.0,1.0,1.0,0.9890042761148443,1.0024178268779398,0.9618425434280483,0.7563451776649747,1.00939226519337,1.0,1.0,1.0,1.0,1.0,1.0,1.0277005904828067,0.9951102500230649
NM,2008,2.0,1.0805970149253732,0.914453125,1.0,1.0,1.0,0.9890042761148443,1.0024178268779398,0.9618425434280483,0.7563451776649747,1.00939226519337,1.0,1.0,1.0,1.0,1.0,1.0,1.0277005904828067,0.9985225823042674
NV,2008,2.0,0.8245682126916359,1.2276807980049875,1.0,1.0,1.0,0.9890042761148443,1.0024178268779398,0.9618425434280483,0.7563451776649747,1.00939226519337,1.0,1.0,1.0,1.0,1.0,1.0,1.0277005904828067,0.968818503408646
NY,2008,2.0,0.9658604472598137,1.1848207663782446,1.0,1.0,1.0,0.9890042761148443,1.0024178268779398,0.9618425434280483,0.7563451776649747,1.00939226519337,1.0,1.0,1.0,1.0,1.0,1.0,1.0277005904828067,0.9985380268546841
OH,2008,2.0,1.0279355333844973,1.0250735691550057,1.0,1.0,1.0,0.9890042761148443,1.0024178268779398,0.9618425434280483,0.7563451776649747,1.00939226519337,1.0,1.0,1.0,1.0,1.0,1.0,1.0277005904828067,0.9970363773167698
OK,2008,2.0,1.1117892229830306,1.0796110604679428,1.0,1.0,1.0,0.9890042761148443,1.0024178268779398,0.9618425434280483,0.7563451776649747,1.00939226519337,1.0,1.0,1.0,1.0,1.0,1.0,1.0277005904828067,1.001385849047587
OR,2008,2.0,0.937446556600671,0.9809511551579895,1.0,1.0,1.0,0.9890042761148443,1.0024178268779398,0.9618425434280483,0.7563451776649747,1.00939226519337,1.0,1.0,1.0,1.0,1.0,1.0,1.0277005904828067,0.9963851750142737
PA,2008,2.0,0.907437697020163,1.0047229219143576,1.0,1.0,1.0,0.9890042761148443,1.0024178268779398,0.9618425434280483,0.7563451776649747,1.00939226519337,1.0,1.0,1.0,1.0,1.0,1.0,1.0277005904828067,0.9991051277866264
RI,2008,2.0,1.065403698691926,1.3475061324611612,1.0,1.0,1.0,0.9890042761148443,1.0024178268779398,0.9618425434280483,0.7563451776649747,1.00939226519337,1.0,1.0,1.0,1.0,1.0,1.0,1.0277005904828067,0.9919388307320458
SC,2008,2.0,0.987602410160822,1.2335521175183624,1.0,1.0,1.0,0.9890042761148443,1.0024178268779398,0.9618425434280483,0.7563451776649747,1.00939226519337,1.0,1.0,1.0,1.0,1.0,1.0,1.0277005904828067,0.9987939578482298
TN,2008,2.0,0.9545474594213127,1.071881244647445,1.0,1.0,1.0,0.9890042761148443,1.0024178268779398,0.9618425434280483,0.7563451776649747,1.00939226519337,1.0,1.0,1.0,1.0,1.0,1.0,1.0277005904828067,0.9971233788969978
TX,2008,2.0,0.9004290910675001,1.0221651690201112,1.0,1.0,1.0,0.9890042761148443,1.0024178268779398,0.9618425434280483,0.7563451776649747,1.00939226519337,1.0,1.0,1.0,1.0,1.0,1.0,1.0277005904828067,0.9972045565727864
UT,2008,2.0,1.000216637781629,0.8730964467005076,1.0,1.0,1.0,0.9890042761148443,1.0024178268779398,0.9618425434280483,0.7563451776649747,1.00939226519337,1.0,1.0,1.0,1.0,1.0,1.0,1.0277005904828067,0.9994339483652351
VA,2008,2.0,0.9813155594405594,0.8873042149497008,1.0,1.0,1.0,0.9890042761148443,1.0024178268779398,0.9618425434280483,0.7563451776649747,1.00939226519337,1.0,1.0,1.0,1.0,1.0,1.0,1.0277005904828067,0.9923205066526887
VT,2008,2.0,0.9986923831317425,0.9043570669500531,1.0,1.0,1.0,0.9890042761148443,1.0024178268779398,0.9618425434280483,0.7563451776649747,1.00939226519337,1.0,1.0,1.0,1.0,1.0,1.0,1.0277005904828067,0.9994042949495119
WA,2008,2.0,1.0153837849508798,1.1968669369701437,1.0,1.0,1.0,0.9890042761148443,1.0024178268779398,0.9618425434280483,0.7563451776649747,1.00939226519337,1.0,1.0,1.0,1.0,1.0,1.0,1.0277005904828067,0.9956518878888788
WI,2008,2.0,0.9628468319233272,1.0489444668549146,1.0,1.0,1.0,0.9890042761148443,1.0024178268779398,0.9618425434280483,0.7563451776649747,1.00939226519337,1.0,1.0,1.0,1.0,1.0,1.0,1.0277005904828067,0.9969550584949289
WV,2008,2.0,1.0398956002982849,1.0402222810267268,1.0,1.0,1.0,0.9890042761148443,1.0024178268779398,0.9618425434280483,0.7563451776649747,1.00939226519337,1.0,1.0,1.0,1.0,1.0,1.0,1.0277005904828067,1.0005207890485504
WY,2008,2.0,0.9453571428571428,1.2636103151862466,1.0,1.0,1.0,0.9890042761148443,1.0024178268779398,0.9618425434280483,0.7563451776649747,1.00939226519337,1.0,1.0,1.0,1.0,1.0,1.0,1.0277005904828067,1.0010744968180243
